Affordability Data: 1-Yr Change,Affordability Data: Foreclosures,Affordability Data: Homes For Sale,Affordability Data: Homes For Sale By Owner,Affordability Data: Homes Recently Sold,Affordability Data: Median 2-Bedroom Home Value,Affordability Data: Median 3-Bedroom Home Value,Affordability Data: Median 4-Bedroom Home Value,Affordability Data: Median Condo Value,Affordability Data: Median List Price,Affordability Data: Median List Price Per Sq Ft,Affordability Data: Median Sale Price,Affordability Data: Median Single Family Home Value,Affordability Data: Median Value Per Sq Ft,Affordability Data: New Construction,Affordability Data: Percent Homes Decreasing,Affordability Data: Percent Listing Price Reduction,Affordability Data: Property Tax,Affordability Data: Turnover (Sold Within Last Yr),Affordability Data: Zillow Home Value Index,BuiltYear: 1900-1919,BuiltYear: 1920-1939,BuiltYear: 1940-1959,BuiltYear: 1960-1979,BuiltYear: 1980-1999,BuiltYear: <1900,BuiltYear: >2000,Census Summary-AgeDecade: 0s,Census Summary-AgeDecade: 10s,Census Summary-AgeDecade: 20s,Census Summary-AgeDecade: 30s,Census Summary-AgeDecade: 40s,Census Summary-AgeDecade: 50s,Census Summary-AgeDecade: 60s,Census Summary-AgeDecade: >=70s,Census Summary-CommuteTime: 10-20min,Census Summary-CommuteTime: 20-30min,Census Summary-CommuteTime: 30-45min,Census Summary-CommuteTime: 45-60min,Census Summary-CommuteTime: <10min,Census Summary-CommuteTime: >=60min,Census Summary-HomeSize: 1000-1400sqft,Census Summary-HomeSize: 1400-1800sqft,Census Summary-HomeSize: 1800-2400sqft,Census Summary-HomeSize: 2400-3600sqft,Census Summary-HomeSize: <1000sqft,Census Summary-HomeSize: >3600sqft,Census Summary-HomeType: Condo,Census Summary-HomeType: Other,Census Summary-HomeType: SingleFamily,Census Summary-Household: NoKids,Census Summary-Household: WithKids,Census Summary-Occupancy: Own,Census Summary-Occupancy: Rent,Census Summary-RelationshipStatus: Divorced-Female,Census Summary-RelationshipStatus: Divorced-Male,Census Summary-RelationshipStatus: Married-Female,Census Summary-RelationshipStatus: Married-Male,Census Summary-RelationshipStatus: Single-Female,Census Summary-RelationshipStatus: Single-Male,Census Summary-RelationshipStatus: Widowed-Female,Census Summary-RelationshipStatus: Widowed-Male,Homes & Real Estate Data: Avg Year Built,Homes & Real Estate Data: Condos,Homes & Real Estate Data: Median Home Size (Sq Ft),Homes & Real Estate Data: Owners,Homes & Real Estate Data: Renters,Homes & Real Estate Data: Single-Family Homes,People Data: Average Commute Time (Minutes),People Data: Average Household Size,People Data: Homes With Kids,People Data: Median Age,People Data: Median Household Income,People Data: Single Females,People Data: Single Males,city,id_x,latitude,longitude,name,state,url,zindex,id_y
0.039,,0.0,,0.0,580700.0,554900.0,663600.0,384000.0,0.0,522.0,389100.0,564600.0,0.0,,0.14,0.0,2833.0,0.087,384000.0,0.0571625344352,0.0036730945821,,0.102387511478,0.351698806244,,0.48347107438,0.0211975491255,0.0318450610991,0.248708573777,0.259024044864,0.184834373418,0.146479965838,0.0489750172401,0.0589354146388,0.359945885696,0.227290528398,0.161039852892,0.0652783763496,0.140794020744,0.04565133592,0.181917508877,0.063370663753,0.0256760447965,0.0196667577164,0.670581808249,0.0131111718109,0.976712328767,0.0228310502283,,0.969857005,0.0301429949996,0.29738256,0.70261744,0.088030207742,0.0946618509397,0.111139780653,0.133695779358,0.18176713514,0.359250568082,0.0271137943282,0.0043408837566,1998.0,0.976712328767,855.0,0.29738256,0.70261744,0.648794248438,23.6811814772,1.3140657719,0.0301429949996,39.0,36021.7794362,0.18176713514,0.359250568082,Seattle,271808.0,47.614592,-122.348464,Belltown,Washington,http://www.zillow.com/local-info/WA-Seattle/Belltown/r_271808/,376700.0,271808
0.118,,0.0,,0.0,556400.0,676700.0,757200.0,380700.0,0.0,430.0,618300.0,667500.0,0.0,,0.024,0.0,4915.0,0.053,648400.0,0.431757119828,0.297420741537,0.0709296077377,0.0403009134873,0.0760343901128,0.011552928533,0.0720042987641,0.0892310624451,0.0703209848271,0.178023091442,0.243617611509,0.203847569214,0.110965101436,0.0393157918328,0.0646787872944,0.314657988985,0.258245602341,0.182367588194,0.102704118129,0.0898795828905,0.052145119459,0.232263285676,0.233072565417,0.218505530078,0.105206366334,0.180199622336,0.0250876719719,0.108452950558,0.0810738968633,0.810473152578,0.798013716815,0.201986283185,0.57384221,0.42615779,0.0729080539836,0.0440563262644,0.213185654841,0.21502164944,0.202916294411,0.212117425612,0.0324777585205,0.00731683692807,1921.0,0.108452950558,1550.0,0.57384221,0.42615779,0.810473152578,26.3367398945,2.06800045046,0.201986283185,37.0,56936.3233022,0.202916294411,0.212117425612,Seattle,271961.0,47.672704,-122.355277,Phinney Ridge,Washington,http://www.zillow.com/local-info/WA-Seattle/Phinney-Ridge/r_271961/,586600.0,271961
0.1,,0.0,,0.0,537500.0,654300.0,752100.0,448800.0,0.0,433.0,693400.0,666600.0,0.0,,0.025,0.0,4686.0,0.058,624500.0,0.262865090403,0.256258692629,0.128650904033,0.0737134909596,0.0883171070931,0.02016689847,0.170027816412,0.0715943476578,0.0523173095774,0.258285455408,0.219073817718,0.160218120387,0.0975032926863,0.047168199751,0.0938394568141,0.345639528221,0.23662372889,0.211084472334,0.099271806795,0.0596562924129,0.0477241713466,0.248766737139,0.228682170543,0.174418604651,0.105708245243,0.192036645525,0.0394644115574,0.227163047225,0.0910031023784,0.681833850396,0.843738421596,0.156261578404,0.46838915,0.53161085,0.0667306128841,0.0502033339775,0.193542792598,0.184585518556,0.217388761903,0.241604330905,0.0409515963508,0.00499305282518,1928.0,0.227163047225,1487.0,0.46838915,0.53161085,0.681833850396,26.7187009637,1.99382149416,0.156261578404,37.0,55194.2985423,0.217388761903,0.241604330905,Seattle,250780.0,47.679959,-122.333709,Green Lake,Washington,http://www.zillow.com/local-info/WA-Seattle/Green-Lake/r_250780/,573500.0,250780
0.1,,0.0,,0.0,337300.0,408100.0,485400.0,291500.0,0.0,273.0,371300.0,415500.0,0.0,,0.033,0.0,3321.0,0.078,399900.0,0.015130190007,0.0749472202674,0.492610837438,0.147079521464,0.162561576355,,0.107318789585,0.101534117638,0.0933047399562,0.185195618204,0.169103534668,0.159433950028,0.0990319944813,0.0678852898126,0.124510755212,0.230822871168,0.245324882301,0.22985145209,0.1495066506,0.0879959031002,0.0564982407407,0.263307310149,0.206174591909,0.191270404542,0.0901348474095,0.221078779276,0.0230660042583,0.169062286105,0.0660506502395,0.764887063655,0.775662610842,0.224337389158,0.55266015,0.44733985,0.0595414410626,0.039415381346,0.21350290322,0.228186266421,0.171925534957,0.205058803634,0.0678532914494,0.0145163779095,1953.0,0.169062286105,1440.0,0.55266015,0.44733985,0.764887063655,28.7741045449,2.23318283776,0.224337389158,38.0,42074.889351,0.171925534957,0.205058803634,Seattle,250801.0,47.719604,-122.334753,Haller Lake,Washington,http://www.zillow.com/local-info/WA-Seattle/Haller-Lake/r_250801/,368700.0,250801
0.09,,0.0,,0.0,421600.0,541600.0,657400.0,298600.0,0.0,304.0,457400.0,577200.0,0.0,,0.122,0.0,4414.0,0.054,556200.0,0.0163265306122,0.121706864564,0.575881261596,0.161410018553,0.0623376623376,,0.0623376623376,0.0976057266297,0.0838974887396,0.118421900649,0.160741612284,0.16813813179,0.123872088799,0.0701283500703,0.177194701038,0.252135123264,0.278375801051,0.206944949804,0.140367816745,0.0723385424678,0.0498377666678,0.179544606196,0.200447928331,0.261291526689,0.223590892124,0.0668159761104,0.063829787234,0.0759856630824,0.0559139784945,0.868100358423,0.781655797015,0.218344202985,0.62869929,0.37130071,0.0657732182011,0.0447074689694,0.254745683719,0.259273975793,0.131446679473,0.146565346505,0.0838731602973,0.0136144670413,1951.0,0.0759856630824,1920.0,0.62869929,0.37130071,0.868100358423,28.1441697004,2.12868226314,0.218344202985,42.0,51175.9623107,0.131446679473,0.146565346505,Seattle,271819.0,47.719649,-122.368414,Broadview,Washington,http://www.zillow.com/local-info/WA-Seattle/Broadview/r_271819/,518100.0,271819
0.09,,0.0,,0.0,342300.0,414000.0,470700.0,193300.0,0.0,267.0,255100.0,423600.0,0.0,,0.04,0.0,3111.0,0.089,387000.0,0.0266437473141,0.177911474001,0.27288354104,0.196819939837,0.232488182209,,0.0928233777395,0.066150788692,0.0832895070457,0.171057302808,0.180067652436,0.14769012767,0.0955249025467,0.0656141188017,0.1906056,0.263040126265,0.259571939894,0.227772224208,0.134837339871,0.0757649596159,0.0390134101462,0.234135667396,0.179868708971,0.120787746171,0.052078774617,0.366739606127,0.0249452954048,0.378355347252,0.0528334043458,0.568811248402,0.827806726285,0.172193273715,0.41436928,0.58563072,0.0835241436732,0.0669897959117,0.19084039597,0.188043213152,0.160447785156,0.185793592993,0.107012589616,0.017348483528,1962.0,0.378355347252,1235.0,0.41436928,0.58563072,0.568811248402,27.6354044699,1.90865596322,0.172193273715,42.0,37083.0844298,0.160447785156,0.185793592993,Seattle,271814.0,47.719625,-122.35012,Bitter Lake,Washington,http://www.zillow.com/local-info/WA-Seattle/Bitter-Lake/r_271814/,363500.0,271814
0.091,,0.0,,0.0,328900.0,403900.0,454400.0,296700.0,0.0,264.0,267000.0,416000.0,0.0,,0.02,0.0,3218.0,0.054,392000.0,0.0053050397877,0.0809018567639,0.483642793988,0.257294429708,0.105216622458,,0.0676392572944,0.0780648284756,0.101517519715,0.18171672548,0.159194328917,0.167032969326,0.103139588024,0.0774692562442,0.131864783818,0.25443603764,0.280451086701,0.214786869159,0.140664198286,0.0619489373305,0.0477128708829,0.258969641214,0.298068077277,0.189972401104,0.0579576816927,0.16283348666,0.0160993560257,0.208062418726,0.0585175552665,0.733420026008,0.785715030197,0.214284969803,0.54342218,0.45657782,0.0753443340944,0.0520385832209,0.229137883426,0.248550090376,0.162913898411,0.172957384932,0.0527095208539,0.00634830468608,1953.0,0.208062418726,1520.0,0.54342218,0.45657782,0.733420026008,28.3324738675,2.16790114692,0.214284969803,40.0,42666.1392696,0.162913898411,0.172957384932,Seattle,271957.0,47.726604,-122.302454,Olympic Hills,Washington,http://www.zillow.com/local-info/WA-Seattle/Olympic-Hills/r_271957/,365200.0,271957
0.147,,0.0,,0.0,470000.0,580700.0,651200.0,241600.0,0.0,353.0,551900.0,593700.0,0.0,,0.042,0.0,4494.0,0.049,585300.0,0.0155457924974,0.10780669145,0.640081108482,0.109158499493,0.0733355863467,,0.0537343697194,0.105872765458,0.0922175073827,0.14276743164,0.190369464315,0.175656484472,0.120520810991,0.0709925338853,0.101603001856,0.281999502864,0.2790517769,0.20724537804,0.115107702851,0.0670109943045,0.0495846450403,0.218950930626,0.236886632826,0.233502538071,0.144500846024,0.144839255499,0.0182741116751,0.0525091392489,0.0408773678962,0.906613492855,0.731649685826,0.268350314174,0.72427299,0.27572701,0.0590628794455,0.0350202610964,0.27673791728,0.271804516567,0.140441391488,0.169986108032,0.0376966020575,0.00925032403354,1949.0,0.0525091392489,1640.0,0.72427299,0.27572701,0.906613492855,27.514869597,2.27883963226,0.268350314174,38.0,60405.1219714,0.140441391488,0.169986108032,Seattle,344001.0,47.690136,-122.293779,Wedgwood,Washington,http://www.zillow.com/local-info/WA-Seattle/Wedgwood/r_344001/,523700.0,344001
0.125,,0.0,,0.0,501300.0,599400.0,642700.0,422600.0,0.0,399.0,604500.0,580300.0,0.0,,0.01,0.0,4431.0,0.059,574200.0,0.257758902319,0.3038222803,0.300555374061,0.0421430904933,0.0398562561254,0.0160078405749,0.0398562561254,0.108508545212,0.0819434646142,0.13497230628,0.222670537881,0.191256244264,0.109074487965,0.0470248480022,0.104549565781,0.237339596997,0.266255420215,0.214023077362,0.149003222133,0.0826560336662,0.0507226496277,0.290121430916,0.279291106006,0.18116179849,0.0594026911716,0.17033147358,0.0170659665244,0.0393752033843,0.0442564269442,0.916368369671,0.763288645203,0.236711354797,0.66799711,0.33200289,0.0823515644573,0.0484255372956,0.245435384913,0.238009660505,0.146046540878,0.180992294718,0.0497453578534,0.00899365938059,1929.0,0.0393752033843,1450.0,0.66799711,0.33200289,0.916368369671,28.3573342946,2.17066086426,0.236711354797,38.0,53427.5772069,0.146046540878,0.180992294718,Seattle,251170.0,47.683235,-122.384852,Loyal Heights,Washington,http://www.zillow.com/local-info/WA-Seattle/Loyal-Heights/r_251170/,522500.0,251170
0.102,,0.0,,0.0,446200.0,534000.0,663600.0,369300.0,0.0,410.0,370500.0,568700.0,0.0,,0.045,0.0,2913.0,0.115,431700.0,0.115289109613,0.0415040794608,0.053210358283,0.110677545229,0.162468960624,0.0418588151826,0.474991131607,0.069827323481,0.0614721332268,0.210411237407,0.222130722421,0.159760457231,0.100382039996,0.0611431851756,0.114872901061,0.266281330068,0.255069379257,0.189151878628,0.124736443956,0.116523248268,0.048237719823,0.217714923707,0.161518422032,0.0774097506512,0.0684778563453,0.387048753256,0.0714551544473,0.644787644788,0.186732186732,0.16848016848,0.850066140828,0.149933859172,0.35028618,0.64971382,0.0854375513591,0.060298279952,0.178297193386,0.186687382837,0.19772697909,0.218182040689,0.0632616593159,0.0101089133701,1995.0,0.644787644788,1197.0,0.35028618,0.64971382,0.16848016848,26.5677612168,1.82278897942,0.149933859172,39.0,41202.9453207,0.19772697909,0.218182040689,Seattle,250017.0,47.668328,-122.384536,Ballard,Washington,http://www.zillow.com/local-info/WA-Seattle/Ballard/r_250017/,397200.0,250017
