hood,theft-burglary,assualt-drugs,homicide
Admiral,0.0469369628781,0.0307599777607,-0.0606795199521
Alki,0.0614856697756,0.0326867507639,-0.0606795199521
Arbor Heights,0.0778624002384,0.0236535998014,-0.0606795199521
Atlantic,0.0417556794895,-0.0218439156222,0.0561847406964
Ballard,-0.168463745491,-0.0104778412221,-0.0606795199521
Beacon Hill,-0.224587854618,-0.0351683848642,0.523641783291
Belltown,-0.0974673007104,-0.0724824435119,0.114616871021
Bitter Lake,0.0201641439992,0.0276179655236,-0.0606795199521
Blue Ridge,0.0883440702744,0.0491544677105,-0.0606795199521
Brighton,-0.0146843969482,0.00100069902001,0.114616871021
Broadmoor,0.102181297076,0.0481759888508,-0.0606795199521
Broadview,0.00573330690596,0.0393202017842,-0.0606795199521
Bryant,0.0776870574457,0.0431190009156,-0.0606795199521
Capitol Hill,-0.617995006159,-0.260208863917,0.114616871021
Cedar Park,0.0565325577669,0.0179431849877,-0.0606795199521
Central District,-0.102341051932,-0.0300724319344,0.231481131669
Columbia City,-0.0467509788984,0.0161661829201,-0.0606795199521
Crown Hill,0.0791229306736,0.0399114579119,-0.0606795199521
Denny-Blaine,0.103653378425,0.0451849332593,0.0561847406964
Downtown,-0.260130423268,-0.87451571054,0.289913261994
Eastlake,-0.0253187257487,0.0365709076914,-0.0606795199521
Fauntleroy,0.072401376516,0.0372665697301,-0.0606795199521
First Hill,-0.209682706477,-0.100003769144,-0.0606795199521
Fremont,-0.124110782413,-0.00417107897368,0.0561847406964
Georgetown,0.0155315254867,0.019868183217,-0.0606795199521
Green Lake,-0.0369228123341,0.0233800542123,-0.0606795199521
Greenwood,-0.13451054641,-0.0145790777104,0.231481131669
Haller Lake,-0.0413487798215,-0.0186952225178,-0.0606795199521
Hawthorne Hills,0.102324386437,0.0492637691564,-0.0606795199521
High Point,0.0533755190116,0.0304504414824,0.114616871021
Highland Park,0.0263480433714,0.0350712299149,-0.0606795199521
Industrial District,-0.0765562116552,-0.0185872618777,0.173049001345
Interbay,0.0691570689519,0.0402274132098,-0.0606795199521
International District,-0.0390984140218,-0.110691133683,0.289913261994
Laurelhurst,0.0882371184496,0.0481260591034,-0.0606795199521
Leschi,0.0509574819292,0.0414927436212,-0.0606795199521
Lower Queen Anne,-0.103284328117,-0.00952394278608,0.0561847406964
Loyal Heights,-0.000810950573804,0.0427084138969,-0.0606795199521
Madison Park,0.0762675558749,0.0468674003376,-0.0606795199521
Madison Valley,0.097790684894,0.0473986198854,-0.0606795199521
Madrona,0.078519371353,0.0430745630156,-0.0606795199521
Magnolia,-0.0169600381839,0.0278780966359,-0.0606795199521
Maple Leaf,0.00376532695681,0.0127003588977,-0.0606795199521
Matthews Beach,0.0616021083299,0.0441761904305,-0.0606795199521
Meadowbrook,0.0580208815302,0.02304425063,-0.0606795199521
Montlake,0.0844438864613,0.0429187042071,-0.0606795199521
Mount Baker,-0.00278713293227,0.00626134411232,-0.0606795199521
North Beach,0.09957083476,0.0481072855707,-0.0606795199521
North College Park,0.0200700481202,0.0277101859818,-0.0606795199521
North Delridge,0.058495469594,0.037714413296,-0.0606795199521
Northgate,0.0221629804932,0.0192180560614,-0.0606795199521
Olympic Hills,0.0324583120825,0.0216168973348,-0.0606795199521
Olympic Manor,0.0924919579279,0.0451762299595,-0.0606795199521
Phinney Ridge,-0.00571868440944,0.0353852140094,-0.0606795199521
Pinehurst,0.0488359580986,0.041018823654,-0.0606795199521
Pioneer Square,0.0610893636619,-0.20868880084,0.173049001345
Portage Bay,0.0817783705035,0.0472021764068,-0.0606795199521
Queen Anne,-0.140615814385,-0.0153662374415,0.173049001345
Rainier Beach,-0.0953367125519,-0.0300555357527,0.114616871021
Ravenna,0.017680800079,0.0381599597447,-0.00224738962786
Riverview,0.0831510619757,0.0435045154778,-0.0606795199521
Roosevelt,0.0505082935627,0.037933686118,-0.0606795199521
Roxhill,0.0574218478065,0.0154258812371,-0.0606795199521
Sand Point,0.101751627417,0.0466628393559,-0.0606795199521
Seward Park,0.0428767628202,0.0367705905607,-0.0606795199521
South Delridge,0.0215262764383,0.00991886938689,0.114616871021
South Lake Union,0.0141526551221,0.0137941864355,-0.0606795199521
South Park,0.0450707931458,0.0212960330082,0.173049001345
Sunset Hill,0.0564310550956,0.021127488551,-0.0606795199521
University District,-0.28681700585,-0.127201325536,0.173049001345
Victory Heights,0.0649657101976,0.0315235887459,-0.0606795199521
View Ridge,0.0822863027234,0.0476506041374,-0.0606795199521
Wallingford,-0.0972014941689,0.00193472362413,0.0561847406964
Wedgwood,0.0292351080674,0.0307031630368,-0.0606795199521
West Seattle,-0.0782160873349,-0.00276137166205,-0.0606795199521
Westlake,-0.00344128985225,0.0396897716069,-0.0606795199521
Whittier Heights,0.0745815538675,0.0440298806976,-0.0606795199521
Windermere,0.0923643412026,0.0483795609411,-0.0606795199521
